TEST LOG PRINT
SOO
Step 124, Validation Loss= 0.0098, Loss= 0.0044
Step 125, Validation Loss= 0.0091, Loss= 0.0033
Step 126, Validation Loss= 0.0086, Loss= 0.0033
Step 127, Validation Loss= 0.0079, Loss= 0.0022
Step 128, Validation Loss= 0.0074, Loss= 0.0022
Step 129, Validation Loss= 0.0068, Loss= 0.0023
Step 130, Validation Loss= 0.0063, Loss= 0.0015
Step 131, Validation Loss= 0.0059, Loss= 0.0019
Step 132, Validation Loss= 0.0055, Loss= 0.0022
Step 133, Validation Loss= 0.0051, Loss= 0.0017
Step 134, Validation Loss= 0.0048, Loss= 0.0019
Step 135, Validation Loss= 0.0045, Loss= 0.0020
Step 136, Validation Loss= 0.0042, Loss= 0.0017
Step 137, Validation Loss= 0.0042, Loss= 0.0040
Step 138, Validation Loss= 0.0042, Loss= 0.0043
Step 139, Validation Loss= 0.0044, Loss= 0.0055
Step 140, Validation Loss= 0.0045, Loss= 0.0062
Step 141, Validation Loss= 0.0047, Loss= 0.0058
Step 142, Validation Loss= 0.0048, Loss= 0.0059
Step 143, Validation Loss= 0.0049, Loss= 0.0061
Step 144, Validation Loss= 0.0051, Loss= 0.0067
Step 145, Validation Loss= 0.0052, Loss= 0.0058
Step 146, Validation Loss= 0.0052, Loss= 0.0058
Step 147, Validation Loss= 0.0054, Loss= 0.0065
Step 148, Validation Loss= 0.0054, Loss= 0.0059
Step 149, Validation Loss= 0.0054, Loss= 0.0057
Step 150, Validation Loss= 0.0068, Loss= 0.0186
Step 151, Validation Loss= 0.0073, Loss= 0.0123
Step 152, Validation Loss= 0.0085, Loss= 0.0192
Step 153, Validation Loss= 0.0096, Loss= 0.0193
Step 154, Validation Loss= 0.0097, Loss= 0.0111
Step 155, Validation Loss= 0.0104, Loss= 0.0168
Step 156, Validation Loss= 0.0113, Loss= 0.0192
Step 157, Validation Loss= 0.0113, Loss= 0.0107
Step 158, Validation Loss= 0.0115, Loss= 0.0135
Step 159, Validation Loss= 0.0120, Loss= 0.0162
Step 160, Validation Loss= 0.0118, Loss= 0.0109
Step 161, Validation Loss= 0.0118, Loss= 0.0118
Step 162, Validation Loss= 0.0119, Loss= 0.0124
Step 163, Validation Loss= 0.0118, Loss= 0.0109
Step 164, Validation Loss= 0.0116, Loss= 0.0102
Step 165, Validation Loss= 0.0114, Loss= 0.0088
Step 166, Validation Loss= 0.0112, Loss= 0.0099
Step 167, Validation Loss= 0.0109, Loss= 0.0082
Step 168, Validation Loss= 0.0105, Loss= 0.0065
Step 169, Validation Loss= 0.0103, Loss= 0.0084
Step 170, Validation Loss= 0.0099, Loss= 0.0070
Step 171, Validation Loss= 0.0094, Loss= 0.0051
Step 172, Validation Loss= 0.0090, Loss= 0.0055
Step 173, Validation Loss= 0.0086, Loss= 0.0050
Step 174, Validation Loss= 0.0082, Loss= 0.0038
Step 175, Validation Loss= 0.0077, Loss= 0.0037
Step 176, Validation Loss= 0.0073, Loss= 0.0031
Step 177, Validation Loss= 0.0068, Loss= 0.0027
Step 178, Validation Loss= 0.0063, Loss= 0.0023
